date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos,Prendas de Vestir y Calzado
2024-07-28,2024_07.csv,100.0,100.0,100.0,100.0,100.0,100.0
2024-07-29,2024_07.csv,100.0,100.0,100.0,100.0,100.0,100.0
2024-07-30,2024_07.csv,100.08974373926137,100.09812464402654,100.00919239345838,100.0,100.21574226686549,100.0
2024-07-31,2024_07.csv,100.08974373926137,100.09812464402654,100.00919239345838,100.0,100.21574226686549,100.0
2024-08-01,2024_08.csv,100.65790043645592,100.78788741713751,100.63745849479137,100.35078185236463,100.86031515457441,100.0
2024-08-02,2024_08.csv,100.94855713546197,101.08350401313473,101.30475139329491,100.35337745267003,101.60314813085483,100.0
2024-08-03,2024_08.csv,100.72187910378173,100.741920635807,101.01585532461212,100.41440916321943,101.549193138288,100.0
2024-08-04,2024_08.csv,100.72585115805677,100.735509893275,101.04896314507798,100.41947435121072,101.60926340450119,100.0
2024-08-05,2024_08.csv,100.72585115805677,100.735509893275,101.04896314507798,100.41947435121072,101.60926340450119,100.0
2024-08-06,2024_08.csv,100.7226015828178,100.73051152199787,101.04896314507798,100.41947435121072,101.60926340450119,100.0
2024-08-07,2024_08.csv,100.95812433477343,100.9815195506885,101.1529319265785,100.93351440724689,101.78755212878453,100.0
2024-08-08,2024_08.csv,100.95812433477343,100.9815195506885,101.1529319265785,100.93351440724689,101.78755212878453,100.0
2024-08-09,2024_08.csv,102.2841555034256,101.39550367709971,101.1529319265785,102.36745232022598,102.22928605564648,107.22422267668446
2024-08-10,2024_08.csv,102.61530799216041,101.53750427568028,101.16506499501864,102.64892036599726,103.99665713155194,107.22422267668446
2024-08-11,2024_08.csv,103.1933707886468,102.42103329048331,101.30900104679326,102.64892036599726,104.01043363217809,107.22422267668446
2024-08-12,2024_08.csv,103.18568557717514,102.4252015444137,101.30900104679326,102.5477583001068,104.00504848347546,107.22422267668446
2024-08-13,2024_08.csv,103.23868481339862,102.47431331490124,101.30900104679326,102.70432492695237,104.05500782414596,107.22422267668446
2024-08-14,2024_08.csv,103.23868481339862,102.47431331490124,101.30900104679326,102.70432492695237,104.05500782414596,107.22422267668446
2024-08-15,2024_08.csv,103.2451018597563,102.47911144424802,101.30900104679326,102.71676747038207,104.07253965668623,107.22422267668446
2024-08-16,2024_08.csv,103.29717061332073,102.55642871174342,101.30900104679326,102.72179901462852,104.08354946408211,107.22422267668446
2024-08-17,2024_08.csv,103.33147428223116,102.6091932919646,101.30900104679326,102.72179901462852,104.08354946408211,107.22422267668446
2024-08-18,2024_08.csv,103.39794130821736,102.70044516528996,101.30900104679326,102.73531208092207,104.13233638210475,107.22422267668446
2024-08-19,2024_08.csv,103.39088130578699,102.70161392527733,101.30900104679326,102.7273847254194,104.07338572264344,107.22422267668446
2024-08-20,2024_08.csv,103.38934916761768,102.70161392527733,101.30900104679326,102.71148879191276,104.07338572264344,107.22422267668446
2024-08-21,2024_08.csv,103.50479358963827,102.90044010428275,101.30900104679326,102.72241392539236,103.94914038866865,107.22422267668446
2024-08-22,2024_08.csv,103.54011790490658,102.93111161495452,101.30900104679326,102.83763324898051,103.9848868346369,107.22422267668446
2024-08-23,2024_08.csv,103.64187622591693,102.99927609469101,101.30900104679326,102.94867847488794,104.37539472891798,107.22422267668446
2024-08-24,2024_08.csv,103.80003101574302,103.01802623594841,101.30900104679326,102.94867847488794,105.59492596723098,107.22422267668446
2024-08-25,2024_08.csv,103.79599763576141,103.00734419213197,101.30900104679326,102.94867847488794,105.6192498093069,107.22422267668446
2024-08-26,2024_08.csv,103.79788047595198,103.00770935226458,101.30900104679326,102.9657499127469,105.6192498093069,107.22422267668446
2024-08-27,2024_08.csv,103.79491686730267,103.00770935226458,101.30900104679326,102.93500247301031,105.6192498093069,107.22422267668446
2024-08-28,2024_08.csv,104.3293103222258,103.61437064076021,102.03659089504966,103.51764500215505,106.23482782939686,107.22422267668446
2024-08-29,2024_08.csv,104.36830142379866,103.6463679651241,102.08531250717633,103.68183083239252,106.24889717357405,107.22422267668446
2024-08-30,2024_08.csv,104.78121802403085,104.08679437263434,103.10882003042809,104.15018208083332,106.81004021459,107.22422267668446
2024-08-31,2024_08.csv,105.12326938534665,104.5272445211457,103.52406736522781,104.29528344975269,107.1101866124306,107.22422267668446
2024-09-01,2024_09.csv,105.74181488935065,105.20151205066526,103.5936908483648,104.9349197693119,108.09242257519804,107.22422267668446
2024-09-02,2024_09.csv,105.75528038516785,105.22289116484559,103.5936908483648,104.93042075674845,108.09242257519804,107.22422267668446
2024-09-03,2024_09.csv,105.75528038516785,105.22289116484559,103.5936908483648,104.93042075674845,108.09242257519804,107.22422267668446
2024-09-04,2024_09.csv,105.85278227907422,105.2956583738627,103.95494735794027,104.96976038661269,108.43800476696242,107.22422267668446
2024-09-05,2024_09.csv,105.87407968025384,105.30228634012286,104.10215214757466,105.01970012810877,108.52256812151956,107.22422267668446
2024-09-06,2024_09.csv,105.88978366287016,105.32671388875967,104.10215214757466,105.00984133104294,108.52902837847347,107.22422267668446
2024-09-07,2024_09.csv,105.89225869638734,105.31850349807783,104.1281356026229,105.04859634388285,108.56006643378687,107.22422267668446
2024-09-08,2024_09.csv,105.92791178976084,105.36626143672352,104.1281356026229,105.05928922022422,108.5899248944472,107.22422267668446
