date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Bienes y Servicios Diversos,"Muebles, Bienes y Servicios Domésticos",Prendas de Vestir y Calzado
2024-07-29,2024_07.csv,100.00000000000003,100.0,100.0,100.0,100.0,100.0
2024-07-30,2024_07.csv,100.13133577345621,100.1960270314087,100.11994392505099,100.09292873844646,100.05606454780734,100.0
2024-07-31,2024_07.csv,100.13133577345621,100.1960270314087,100.11994392505099,100.09292873844646,100.05606454780734,100.0
2024-08-01,2024_08.csv,100.1289681595386,100.12759627106746,100.41804745599805,100.31957611589866,100.01690282018632,100.0
2024-08-02,2024_08.csv,100.45646050900709,100.20488617673114,100.44933886821576,101.65477697967675,100.65669415535916,100.0
2024-08-03,2024_08.csv,100.50962083534631,100.2410533688776,100.45577392815899,101.7836621335196,100.76431534767794,100.0
2024-08-04,2024_08.csv,100.53985277399369,100.32529010516014,100.45577392815899,101.66078661387046,100.78628232716692,100.0
2024-08-05,2024_08.csv,100.53985277399369,100.32529010516014,100.45577392815899,101.66078661387046,100.78628232716692,100.0
2024-08-06,2024_08.csv,100.54063513888158,100.32671056291854,100.45577392815899,101.66078661387046,100.78628232716692,100.0
2024-08-07,2024_08.csv,100.89372675800217,100.85472237058025,101.0739321275525,101.90469449434386,100.89712246187518,100.0
2024-08-08,2024_08.csv,100.89372675800217,100.85472237058025,101.0739321275525,101.90469449434386,100.89712246187518,100.0
2024-08-09,2024_08.csv,101.07673406721489,101.11891510468405,101.39426043676562,102.05675971529169,100.96490410439304,100.0
2024-08-10,2024_08.csv,102.47089732642544,101.48462504940944,101.40595973672599,102.30899183462756,101.52110388918835,107.050633233365
2024-08-11,2024_08.csv,102.64624414085804,101.79297517332127,101.40595973672599,102.31628722721722,101.55658981451205,107.050633233365
2024-08-12,2024_08.csv,102.94671069432952,101.80692777977978,101.45928087167037,103.82946819740746,102.0356893733277,107.050633233365
2024-08-13,2024_08.csv,102.92171093763393,101.79761234779252,101.35052674469209,103.71038545706053,102.03875119314357,107.050633233365
2024-08-14,2024_08.csv,102.92171093763393,101.79761234779252,101.35052674469209,103.71038545706053,102.03875119314357,107.050633233365
2024-08-15,2024_08.csv,102.95288359319365,101.87623945010016,101.35052674469209,103.72495126970176,101.92261489277573,107.050633233365
2024-08-16,2024_08.csv,103.28350996230073,102.4701505546159,101.30874813176601,103.73652696943473,101.94264904942472,107.050633233365
2024-08-17,2024_08.csv,103.3466162841694,102.58548441888225,101.30874813176601,103.74173896615217,101.93280178809954,107.050633233365
2024-08-18,2024_08.csv,103.40138456712579,102.64794678038618,101.3143009588551,103.82838648141863,101.9889628096869,107.050633233365
2024-08-19,2024_08.csv,103.58623286716546,102.7625264139394,101.31999158639809,104.61991818271153,101.9889628096869,107.050633233365
2024-08-20,2024_08.csv,103.58623286716546,102.7625264139394,101.31999158639809,104.61991818271153,101.9889628096869,107.050633233365
2024-08-21,2024_08.csv,103.71453821867745,102.97458947512182,101.41028523554468,104.66311757292905,102.01521308547584,107.050633233365
2024-08-22,2024_08.csv,103.89941477448966,103.22862135742356,102.09082022475882,104.86039137448569,102.03504770055925,107.050633233365
2024-08-23,2024_08.csv,103.9151102859904,103.24348178790595,102.22542986022552,104.89385487389504,102.0347008800702,107.050633233365
2024-08-24,2024_08.csv,104.21505383130929,103.35890214026303,102.26914771469673,105.05709502925518,102.03160174476136,108.42111729480798
2024-08-25,2024_08.csv,104.24654080544508,103.38184840739927,102.3194256520319,105.07736820227697,102.15145733841513,108.42111729480798
2024-08-26,2024_08.csv,104.2296728717422,103.3839930819645,102.38127290666512,104.95277390830076,102.15137590073181,108.42111729480798
2024-08-27,2024_08.csv,104.2296728717422,103.3839930819645,102.38127290666512,104.95277390830076,102.15137590073181,108.42111729480798
2024-08-28,2024_08.csv,104.2371031627955,103.40534241284783,102.40342117327361,104.90845530618867,102.16822660419848,108.42111729480798
2024-08-29,2024_08.csv,104.31881267479352,103.45271226034332,102.40342117327361,104.97589344207576,102.53391777612066,108.42111729480798
2024-08-30,2024_08.csv,104.40481159690037,103.59952734296382,102.59915670409121,104.97589344207576,102.54708613800862,108.42111729480798
2024-08-31,2024_08.csv,104.6312588959877,103.77975966313717,102.59915670409121,105.46876141253729,102.96273022407536,108.42111729480798
2024-09-01,2024_09.csv,104.80972605630042,103.943117391317,102.6901244539586,105.78294359633212,103.27449080862863,108.42111729480798
2024-09-02,2024_09.csv,105.05206866898524,103.9731485044639,102.6901244539586,106.91888268036732,103.68852214990893,108.42111729480798
2024-09-03,2024_09.csv,105.05206866898524,103.9731485044639,102.6901244539586,106.91888268036732,103.68852214990893,108.42111729480798
2024-09-04,2024_09.csv,105.16378869822682,104.06801969201666,102.6901244539586,107.27148323360989,103.7311959203826,108.42111729480798
2024-09-05,2024_09.csv,106.13280543149158,104.62912434592107,102.99530309955374,107.54893077760252,104.04619353985711,112.14411047985693
2024-09-06,2024_09.csv,106.33271599682601,105.0170665304233,103.82403288899391,107.39665053465606,104.00414159607234,112.14411047985693
2024-09-07,2024_09.csv,106.50797923066358,105.21585278120018,103.93044995431653,107.77405726359666,104.05158549597897,112.14411047985693
2024-09-08,2024_09.csv,106.50797923066358,105.21585278120018,103.93044995431653,107.77405726359666,104.05158549597897,112.14411047985693
