date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos,Prendas de Vestir y Calzado
2024-07-28,2024_07.csv,100.0,100.0,100.0,100.0,100.0,100.0
2024-07-29,2024_07.csv,100.0,100.0,100.0,100.0,100.0,100.0
2024-07-30,2024_07.csv,100.14537814779978,100.19566783594193,100.11994392505099,100.05574884571,100.09292873844646,100.0
2024-07-31,2024_07.csv,100.14537814779978,100.19566783594193,100.11994392505099,100.05574884571,100.09292873844646,100.0
2024-08-01,2024_08.csv,100.1283852448565,100.12718054209998,100.41804745599805,100.01680687133477,100.31957611589866,100.0
2024-08-02,2024_08.csv,100.40017225544283,100.20443122727957,100.44933886821578,100.65298632269896,101.65477697967677,100.0
2024-08-03,2024_08.csv,100.44948041741095,100.24054397681081,100.455773928159,100.75999770993741,101.78366213351961,100.0
2024-08-04,2024_08.csv,100.49157281818323,100.3246538354218,100.455773928159,100.78196374816598,101.66078661387048,100.0
2024-08-05,2024_08.csv,100.49157281818323,100.3246538354218,100.455773928159,100.78196374816598,101.66078661387048,100.0
2024-08-06,2024_08.csv,100.49046824750407,100.32295482741299,100.455773928159,100.78196374816598,101.66078661387048,100.0
2024-08-07,2024_08.csv,100.88171334894338,100.85015253877427,101.07393212755252,100.89279913349897,101.90469449434387,100.0
2024-08-08,2024_08.csv,100.88171334894338,100.85015253877427,101.07393212755252,100.89279913349897,101.90469449434387,100.0
2024-08-09,2024_08.csv,101.09233503277467,101.12919436688591,101.39426043676566,100.9606493168799,102.05675971529172,100.0
2024-08-10,2024_08.csv,101.41374243393133,101.49568220702504,101.40600152235923,101.52506215377657,102.29553459439131,100.0
2024-08-11,2024_08.csv,101.60053590339123,101.78157653915083,101.40600152235923,101.53466832039686,102.29553459439131,100.0
2024-08-12,2024_08.csv,101.83702992550162,101.79418519246175,101.45932267927527,102.01366446319413,103.81099722699388,100.0
2024-08-13,2024_08.csv,101.81462958832708,101.78354374688152,101.35030970813723,102.01672721399119,103.69188494938206,100.0
2024-08-14,2024_08.csv,101.81462958832708,101.78354374688152,101.35030970813723,102.01672721399119,103.69188494938206,100.0
2024-08-15,2024_08.csv,101.8379339358877,101.83613359773449,101.35030970813723,101.9037878160708,103.69188494938206,100.0
2024-08-16,2024_08.csv,102.22426485526486,102.42585567845451,101.30853118467773,101.92583657116546,103.70353535119025,100.0
2024-08-17,2024_08.csv,102.29620007236343,102.53747191811708,101.30853118467773,101.91599093385994,103.70620462017479,100.0
2024-08-18,2024_08.csv,102.3433618361172,102.59838325992112,101.31408399987575,101.97225784915044,103.72342324373281,100.0
2024-08-19,2024_08.csv,102.50910999482211,102.70763376340703,101.31977461523257,101.97225784915044,104.51415476183,100.0
2024-08-20,2024_08.csv,102.50910999482211,102.70763376340703,101.31977461523257,101.97225784915044,104.51415476183,100.0
2024-08-21,2024_08.csv,102.65196512046133,102.91359775345406,101.41017651486867,101.99846487973724,104.55731048048509,100.0
2024-08-22,2024_08.csv,102.84282317243002,103.15247599350273,102.0907107744899,102.02414705740208,104.75438485202433,100.0
2024-08-23,2024_08.csv,102.8543700277924,103.16734499291161,102.22548119551358,102.02414705740208,104.75438485202433,100.0
2024-08-24,2024_08.csv,102.9443750159789,103.27766810223851,102.26935561343097,102.01804869504633,104.9069189575427,100.0
2024-08-25,2024_08.csv,102.96923096054101,103.29602572033177,102.31963365297408,102.1378300744252,104.91255493152303,100.0
2024-08-26,2024_08.csv,102.95659167961553,103.29817139885466,102.38148103333403,102.13774876613101,104.78815606300768,100.0
2024-08-27,2024_08.csv,102.95659167961553,103.29817139885466,102.38148103333403,102.13774876613101,104.78815606300768,100.0
2024-08-28,2024_08.csv,102.96712612242045,103.31955523614091,102.40362934496682,102.1545725754062,104.74388880610641,100.0
2024-08-29,2024_08.csv,103.03925507130448,103.36300694133774,102.40362934496682,102.51897054674022,104.81705436899007,100.0
2024-08-30,2024_08.csv,103.13777107905327,103.51034032713437,102.59936527368711,102.51897054674022,104.81705436899007,100.0
2024-08-31,2024_08.csv,103.35375700808203,103.69044673769169,102.59936527368711,102.93388926512728,105.30917658069676,100.0
2024-09-01,2024_09.csv,103.52869891650563,103.85369048361997,102.69033320847909,103.24510167978109,105.62288337528346,100.0
2024-09-02,2024_09.csv,103.72333247504363,103.88289537015189,102.69033320847909,103.65840076799716,106.75757662290586,100.0
2024-09-03,2024_09.csv,103.72333247504363,103.88289537015189,102.69033320847909,103.65840076799716,106.75757662290586,100.0
2024-09-04,2024_09.csv,103.83112023402538,103.97755860014956,102.69033320847909,103.70099861305361,107.10964521580918,100.0
2024-09-05,2024_09.csv,104.26437326613437,104.53980467821238,102.9955124744593,104.01543334368485,107.38667418107791,100.0
2024-09-06,2024_09.csv,104.48057717948713,104.88877253393753,103.82523449697395,103.97345916533284,107.23462367982911,100.0
2024-09-07,2024_09.csv,104.659962024077,105.08399060832127,103.93190720955826,104.02264523116966,107.6209520902782,100.0
2024-09-08,2024_09.csv,104.659962024077,105.08399060832127,103.93190720955826,104.02264523116966,107.6209520902782,100.0
2024-09-09,2024_09.csv,104.65057723341673,105.07858767945677,103.93190720955826,104.03076873045697,107.56534820182988,100.0
2024-09-10,2024_09.csv,104.65057723341673,105.07858767945677,103.93190720955826,104.03076873045697,107.56534820182988,100.0
2024-09-11,2024_09.csv,104.69672719990047,105.15758976765447,103.89318971546378,104.01606315082917,107.53816218431291,100.0
