date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos,Prendas de Vestir y Calzado
2024-07-28,2024_07.csv,100.0,100.0,100.0,100.0,100.0,100.0
2024-07-29,2024_07.csv,100.0,100.0,100.0,100.0,100.0,100.0
2024-07-30,2024_07.csv,100.10249432260206,100.11358994960433,100.00220530224739,100.01436854433878,100.22751213521946,100.0
2024-07-31,2024_07.csv,100.10249432260206,100.11358994960433,100.00220530224739,100.01436854433878,100.22751213521946,100.0
2024-08-01,2024_08.csv,100.6413500889847,100.7146006143146,100.66408986104081,100.37367164270339,101.09857877546506,100.0
2024-08-02,2024_08.csv,101.0057475901011,101.09407962035608,101.23435306077616,100.35601028313056,102.02961318382232,100.0
2024-08-03,2024_08.csv,100.78350719415322,100.78094443488664,100.91289849584604,100.2727860748363,101.97817384385901,100.0
2024-08-04,2024_08.csv,100.78486564142086,100.76361246788277,100.94206435189244,100.32279934211486,102.0399921487726,100.0
2024-08-05,2024_08.csv,100.78486564142086,100.76361246788277,100.94206435189244,100.32279934211486,102.0399921487726,100.0
2024-08-06,2024_08.csv,100.78153874123116,100.7584951583493,100.94206435189244,100.32279934211486,102.0399921487726,100.0
2024-08-07,2024_08.csv,101.15028056577788,101.03333382476171,101.16116361328747,100.952950969106,102.1847749735369,100.9089763245675
2024-08-08,2024_08.csv,101.15028056577788,101.03333382476171,101.16116361328747,100.952950969106,102.1847749735369,100.9089763245675
2024-08-09,2024_08.csv,102.24252300649913,101.49179692280984,101.1965269489971,102.58086472072782,102.75027231511787,105.65748707000678
2024-08-10,2024_08.csv,102.61772215177837,101.6781602103867,101.20727274947458,103.02603918950507,104.51301226029699,105.65748707000678
2024-08-11,2024_08.csv,103.17680838195653,102.53803848150062,101.20727274947458,103.02603918950507,104.51348265781442,105.65748707000678
2024-08-12,2024_08.csv,103.17215670501356,102.54912802625724,101.20727274947458,102.91038411252194,104.50751879768525,105.65748707000678
2024-08-13,2024_08.csv,103.20878157507838,102.58276929551195,101.20558233070876,103.01819044951276,104.54416692896513,105.65748707000678
2024-08-14,2024_08.csv,103.20878157507838,102.58276929551195,101.20558233070876,103.01819044951276,104.54416692896513,105.65748707000678
2024-08-15,2024_08.csv,103.20274043680612,102.57216952873654,101.20558233070876,103.0270097641913,104.54416692896513,105.65748707000678
2024-08-16,2024_08.csv,103.26803975772444,102.66894665784613,101.20558233070876,103.0401030907269,104.55352370689977,105.65748707000678
2024-08-17,2024_08.csv,103.26195137526706,102.65958174281538,101.20558233070876,103.0401030907269,104.55352370689977,105.65748707000678
2024-08-18,2024_08.csv,103.27012885813748,102.65797154847479,101.21035100350214,103.05834992588856,104.61534258100997,105.65748707000678
2024-08-19,2024_08.csv,103.25947554802907,102.65071731897868,101.21035100350214,103.07687167585976,104.55082243666212,105.65748707000678
2024-08-20,2024_08.csv,103.25773292285238,102.65071731897868,101.21035100350214,103.05879193965151,104.55082243666212,105.65748707000678
2024-08-21,2024_08.csv,103.3665431684965,102.83906385405541,101.21035100350214,103.07142287375724,104.42669830585035,105.65748707000678
2024-08-22,2024_08.csv,103.38080631216208,102.85874734396072,101.21035100350214,103.07142287375724,104.43894985305683,105.65748707000678
2024-08-23,2024_08.csv,103.45804923798869,102.9015249768352,101.21035100350214,103.161394427238,104.77949899104293,105.65748707000678
2024-08-24,2024_08.csv,103.4826423714658,102.93935318604603,101.21035100350214,103.161394427238,104.77949899104293,105.65748707000678
2024-08-25,2024_08.csv,103.49095178233404,102.94813912846126,101.21035100350214,103.161394427238,104.80120046642315,105.65748707000678
2024-08-26,2024_08.csv,103.50273804717368,102.96360307708277,101.21035100350214,103.1793715741321,104.80120046642315,105.65748707000678
2024-08-27,2024_08.csv,103.49947803341652,102.96360307708277,101.21035100350214,103.14554893140172,104.80120046642315,105.65748707000678
2024-08-28,2024_08.csv,104.21683654445715,103.50711961485754,102.17669938004579,103.73075136907676,107.07943986723576,105.8363543707662
2024-08-29,2024_08.csv,104.2684356386238,103.57382787802875,102.16243012375199,103.79843749478268,107.09535911076252,105.8363543707662
2024-08-30,2024_08.csv,104.6788324233099,104.01268375991972,103.07617554212196,104.24491776514999,107.67438605773637,105.8363543707662
2024-08-31,2024_08.csv,105.04271822988919,104.49061476942832,103.45797138117601,104.38758910637426,107.95922630754599,105.8363543707662
2024-09-01,2024_09.csv,106.2322228958895,105.07068061750066,103.49417914690696,105.0988131895728,109.04342372206729,110.9558858737461
2024-09-02,2024_09.csv,106.28930697462161,105.15922995670725,103.49417914690696,105.09378938785528,109.04342372206729,110.9558858737461
2024-09-03,2024_09.csv,106.28930697462161,105.15922995670725,103.49417914690696,105.09378938785528,109.04342372206729,110.9558858737461
2024-09-04,2024_09.csv,106.41971805822976,105.2843842585878,103.84519172231359,105.145484655743,109.37064954177144,110.9558858737461
2024-09-05,2024_09.csv,106.48023900835614,105.3641166448162,104.00568184596364,105.23360045214176,109.35354504161609,110.9558858737461
2024-09-06,2024_09.csv,106.48687570808242,105.37431646447745,104.00568184596364,105.23010527830202,109.35640584577158,110.9558858737461
2024-09-07,2024_09.csv,106.43392744473987,105.29129717563455,104.05866558889555,105.21279488619923,109.37273247808982,110.9558858737461
2024-09-08,2024_09.csv,106.44839513150035,105.3078225571673,104.05866558889555,105.23432405939525,109.38650975109131,110.9558858737461
